n t PE VE R R2 BS
4040 1819 2.38966 1.1272 -0.388839 0.520058 0.478201
4050 2446 2.21071 1.14647 -0.428633 0.5423 0.483442
4060 1816 1.83116 1.15321 -0.455277 0.555517 0.483524
4070 1818 1.37184 1.12173 -0.465758 0.541124 0.467169
4080 2448 0.744855 1.06074 -0.471234 0.509679 0.43579
4090 1817 0.0378204 0.983443 -0.461763 0.464773 0.407809
4100 2446 -0.656798 0.918994 -0.455517 0.429465 0.381852
4110 1816 -1.31013 0.896747 -0.472482 0.428381 0.367479
4120 2446 -1.78344 0.913808 -0.49715 0.454235 0.371375
4130 1827 -2.10419 0.978886 -0.522809 0.504498 0.39021
4140 2457 -2.31761 1.05119 -0.541548 0.551251 0.410264
4150 2207 -2.26449 1.11927 -0.549191 0.5912 0.427936
4160 2471 -1.7168 1.15703 -0.533336 0.605199 0.437423
4170 1878 -0.801781 1.14774 -0.500038 0.588183 0.426893
4180 2467 0.0842814 1.069 -0.439582 0.529053 0.396772
4190 1853 1.00878 0.983592 -0.357336 0.467503 0.368538
4200 1843 1.85746 0.924022 -0.284248 0.424569 0.34966
4210 2455 2.31037 0.89337 -0.215244 0.408831 0.339979
4220 1840 2.13406 0.893285 -0.127196 0.404972 0.360057
4230 2459 1.44237 0.951834 -0.0534294 0.434986 0.402916
4240 1819 0.61734 1.0652 0.00527523 0.495099 0.445438
4250 2455 -0.402644 1.21636 0.0528348 0.570256 0.482881
4260 1819 -1.29232 1.32353 0.115493 0.620121 0.505639
4270 1962 -1.86861 1.40318 0.1754 0.651799 0.511403
4280 2301 -1.7988 1.44211 0.215155 0.677847 0.50983
4290 1816 -1.21783 1.44447 0.244605 0.70255 0.509076
4300 1816 -0.467469 1.43942 0.279571 0.727529 0.518106
4310 2444 0.470468 1.42208 0.322926 0.740429 0.521792
4320 1817 1.69204 1.37481 0.362383 0.733334 0.515219
4330 2449 2.76544 1.27744 0.403081 0.696617 0.48762
4340 1817 3.60388 1.12012 0.428606 0.606411 0.433464
4350 2433 3.98163 0.993652 0.43835 0.523334 0.368915
4360 1819 3.77533 0.923926 0.449989 0.481422 0.321003
4370 2106 3.1221 0.861128 0.449666 0.439597 0.292808
4380 2170 2.54495 0.837448 0.445822 0.415851 0.304097
